timestamp,source_id,source_type,source_department,destination_id,destination_type,destination_department,data_volume_mb,transfer_speed_mbps,bandwidth_usage_percent,latency_ms,packet_loss_percent,network_load_percent,active_connections,response_time_ms,queue_length,data_priority,data_classification,access_permission,threat_level,connection_status,route_status,processing_rate,api_requests,database_queries,ai_requests,iot_messages,anomaly_status
2026-08-25T06:00:00Z,Server-03,Server,IT,Cloud-01,Cloud,Operations,22.97,274.24,16.82,213.86,0.44,17.69,60,361.41,3,Normal,Public,Open,High,Connected,Congested,219.17,7,5,0,1,High Latency
2026-08-25T06:12:00Z,Database-01,Database,Finance,AI-Engine,AI,Management,68.11,167.81,35.54,30.14,0.07,30.03,151,47.39,3,High,Confidential,Role-Based,Low,Connected,Optimal,157.96,33,126,82,4,Normal
2026-08-25T06:24:00Z,Server-03,Server,IT,Cloud-01,Cloud,Operations,116.95,472.64,36.94,17.92,0.16,33.07,151,23.53,4,Normal,Internal,Employee,Low,Connected,Optimal,409.58,21,13,15,6,Normal
2026-08-25T06:36:00Z,Server-02,Server,Operations,Database-02,Database,Operations,52.51,429.18,19.34,31.94,0.64,19.08,111,52.03,2,High,Confidential,Role-Based,Low,Connected,Optimal,344.66,5,90,2,0,Normal
2026-08-25T06:48:00Z,IoT-Gateway,IoT,Operations,Cloud-01,Cloud,Operations,118.59,300.26,36.26,32.62,0.6,34.06,173,43.14,1,Normal,Confidential,Role-Based,Low,Connected,Optimal,264.15,22,35,9,409,Normal
2026-08-25T07:00:00Z,Development,Department,Development,API-Gateway,API,IT,101.49,337.01,36.63,33.73,0.05,33.67,220,51.28,2,Critical,Confidential,Role-Based,Low,Connected,Optimal,237.65,402,22,8,2,Normal
2026-08-25T07:12:00Z,Server-03,Server,IT,Cloud-01,Cloud,Operations,69.88,379.06,26.69,56.06,0.57,23.71,132,71.48,6,Normal,Internal,Employee,Low,Connected,Optimal,369.22,11,16,5,4,Normal
2026-08-25T07:24:00Z,Server-02,Server,Operations,Database-01,Database,Finance,66.51,204.32,18.46,55.02,0.57,19.13,116,65.51,0,High,Restricted,Privileged,Low,Connected,Optimal,150.9,19,82,7,4,Normal
2026-08-25T07:36:00Z,Finance,Department,Finance,Database-01,Database,Finance,110.16,513.38,28.2,52.64,0.28,24.68,190,87.44,2,Critical,Internal,Employee,Low,Connected,Optimal,460.58,33,147,4,2,Normal
2026-08-25T07:48:00Z,Server-02,Server,Operations,Database-02,Database,Operations,141.17,178.7,28.49,42.51,0.16,30.07,274,50.99,4,Normal,Confidential,Role-Based,Low,Connected,Optimal,142.32,21,419,11,5,Normal
